100	0.0244274
200	0.0234161
300	0.0188527
400	0.0191701
500	0.0195247
600	0.0203744
700	0.0229109
800	0.021293
900	0.0208149
1000	0.0192024
1100	0.018983
1200	0.019351
1300	0.019748
1400	0.0203983
1500	0.0190775
1600	0.020359
1700	0.0195366
1800	0.0199897
1900	0.0213675
2000	0.0210562
2100	0.0197442
2200	0.0200965
2300	0.0182118
2400	0.0192764
2500	0.0208347
2600	0.0187733
2700	0.0191008
2800	0.0197298
2900	0.0192722
3000	0.019482
3100	0.0198073
3200	0.0189957
3300	0.0186891
3400	0.0188042
3500	0.018625
3600	0.018625
3700	0.0194522
3800	0.0193543
3900	0.0183038
4000	0.0183047
4100	0.0192056
4200	0.0189579
4300	0.0183405
4400	0.0199237
4500	0.0195816
4600	0.0195024
4700	0.0196952
4800	0.0193593
4900	0.018932
5000	0.0194418
5100	0.0186717
5200	0.0197784
5300	0.0193971
5400	0.0197608
5500	0.0183217
5600	0.0199323
5700	0.0184752
5800	0.0188044
5900	0.0190243
6000	0.0187335
6100	0.0196992
6200	0.0196751
6300	0.0196121
6400	0.0192382
6500	0.0197828
6600	0.0196817
6700	0.0195894
6800	0.0197367
6900	0.0190145
7000	0.018849
7100	0.0186798
7200	0.0190559
7300	0.0189192
7400	0.019516
7500	0.0194617
7600	0.0187226
7700	0.0194831
7800	0.0186745
7900	0.0188675
8000	0.0194309
8100	0.0189419
8200	0.0189759
8300	0.0190491
8400	0.0188424
8500	0.0193654
8600	0.0193019
8700	0.018665
8800	0.0195321
8900	0.0188976
9000	0.0189625
9100	0.0198812
9200	0.0190681
9300	0.0191144
9400	0.019006
9500	0.0196225
9600	0.0188547
9700	0.0187785
9800	0.019219
9900	0.0188278
